Ticker,High Price,Current Price,% Off High
CRKN,72000.0,0.9700000286102295,99.99865277773804
CNSP,8535.0,0.12800000607967377,99.9985002928403
HSDT,36225.0,0.5649999976158142,99.99844030366427
QNRX,40500.0,0.6399999856948853,99.99841975312174
PED,54600.0,0.9179999828338623,99.99831868135011
TANH,8152.7998046875,0.1469999998807907,99.9981969384334
NCPL,91000.0,1.75,99.99807692307692
VIRX,9347.3681640625,0.18000000715255737,99.99807432419486
NRBO,129540.0,2.6700000762939453,99.9979388605247
MTEM,16810.19921875,0.3499999940395355,99.99791793071881
TNFA,65664.0,1.4199999570846558,99.99783747569889
AIM,10032.0,0.23000000417232513,99.99770733648154
XWEL,68760.0,1.649999976158142,99.99760034907482
KPRX,145800.0,3.736999988555908,99.99743689987068
HURA,190225.0,5.039999961853027,99.99735050599982
